# 六感菜单繁体手工校准词条 —— 按 SKU3惠而浦烤箱6th菜单菜谱-中英文-2026.xlsx 繁体块逐字
# 重放: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tw_table.c 之前先备份
# 实际用法: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tsv ui_builder/custom/i18n_tw_table.c
# 格式: zh<TAB>tw ; C 源里的 \n 写作 ⏎ ; # 开头为注释
# ==== 一、行片段(头部/层数/器皿, 与描述页共享的独立键) ====
烹饪说明：	烹調指引：
现在将食物放在第3层	將食物放入第 3 層。
现在将食物放在第2层	將食物放入第 2 層。
现在将食物放在第2层。	將食物放入第 2 層。
使用烤盘	使用焗盤。
使用深盘	使用深焗盤。
使用气炸盘和深盘	使用氣炸盤和深焗盤。
使用网架和模具盘	使用網架及焗盤。
使用网架和盘	使用網架及焗盤。
使用网架和面包容器。	使用網架並放上長方形焗模。
使用网架和蛋糕模具盘	使用網架及焗盤。
使用网架和器皿	使用烤網和焗盤。
# ==== 二、菜名(按各 sheet 繁体标题; 与转换结果相同的条目不列) ====
烤牛排	烤牛扒
烤羊排	烤羊架
烤猪里脊肉	烤豬柳
烤五花肉	烤五花腩
烤鸡翅	焗雞翼
烤鸡胸肉	焗雞胸
炸鸡中翅	炸雞翼
炸鸡腿	炸雞髀
炸鸡米花	炸雞粒
炸牛排	炸牛扒
炸薯条	薯條
烤扇贝	焗帶子
烤青口贝	焗青口
烤生蚝	焗生蠔
烤大虾	焗蝦
土司	多士
可颂	牛角包
面包卷	餐包
果馅卷	果酥
玛德琳	瑪德蓮
巧克力蛋糕	朱古力蛋糕
松饼	鬆餅
蛋挞	蛋撻
全麦面包	全麥麵包
披萨	急凍薄餅
烤红薯	烤番薯
烤玉米	烤粟米
烤杂蔬	烤雜菜
烤土豆片	焗薯片
烤带皮土豆	原個焗薯
奶油焗土豆	法式焗薯仔
千层面	千層麵
卡内罗尼	焗大管麵
曲奇饼干	曲奇餅
# ==== 三、描述整串(43 条) ====
刷油，抹上盐和胡椒。根据个人喜好，用蒜和香草调味⏎现在将食物放在第3层⏎使用烤盘	掃上食油，抹上鹽及胡椒。可按個人喜好，加入蒜頭及香草調味。⏎將食物放入第 3 層。⏎使用焗盤。
刷油，根据个人喜好，撒上盐、烧烤料、孜然。在烤盘内均匀铺开⏎现在将食物放在第3层⏎使用深盘	掃上食油，並按個人喜好灑上鹽、燒烤調味粉及孜然粉。將食物均勻平鋪於焗盤內。⏎將食物放入第 3 層。⏎使用深焗盤。
均匀分布在深盘中⏎现在将食物放在第3层⏎使用深盘	均勻平鋪於深盤上⏎將食物放入第 3 層。⏎使用深焗盤。
根据个人喜好调味，刷上油，撒上烧烤调料⏎现在将食物放在第3层⏎使用烤盘	按個人喜好調味，掃上食油，並灑上燒烤調味料。⏎將食物放入第 3 層。⏎使用焗盤。
根据个人喜好进行调味。在炸盘内均匀铺开，在表面喷一层薄油⏎现在将食物放在第3层⏎使用气炸盘和深盘	按個人喜好調味。平鋪在氣炸盤上，並在表面輕輕噴上一層煮食油。⏎將食物放入第 3 層。⏎使用氣炸盤和深焗盤。
根据个人喜好进行调味。抹上盐和黑胡椒碎，在炸盘内均匀铺开，在表面喷一层薄油⏎现在将食物放在第3层⏎使用气炸盘和深盘	抹上鹽和胡椒。按個人喜好調味。平鋪在氣炸盤上，並在表面輕輕噴上一層煮食油。⏎將食物放入第 3 層。⏎使用氣炸盤和深焗盤。
根据个人喜好，用油、白葡萄酒、蒜、胡椒和欧芹进行调味⏎现在将食物放在第3层⏎使用烤盘	按個人喜好，加入食油、蒜頭、胡椒及番茜調味。⏎將食物放入第 3 層。⏎使用焗盤。
根据个人喜好，用油、蒜、胡椒和香芹进行调味⏎现在将食物放在第3层⏎使用烤盘	按個人喜好，加入食油、蒜頭、胡椒及番茜調味。⏎將食物放入第 3 層。⏎使用焗盤。
根据你的喜好，用油、大蒜、胡椒和欧芹调味⏎现在将食物放在第3层⏎使用烤盘	按個人喜好，加入食油、蒜頭、胡椒及番茜調味。⏎將食物放入第 3 層。⏎使用焗盤。
烹饪说明：⏎准备500~900g巧克力蛋糕面糊。倒入铺了烹调纸并刷油的烤盘中⏎现在将食物放在第2层⏎使用网架和模具盘	烹調指引：⏎準備 500-900 克的無油海綿蛋糕麵糊。倒入已鋪上烘焙紙及抹油的焗盤內。⏎將食物放入第 2 層。⏎使用網架及焗盤。
烹饪说明：⏎准备500~900g无脂肪海绵蛋糕面糊。倒入铺了烹调纸并刷油的烤盘中⏎现在将食物放在第3层⏎使用网架和盘	烹調指引：⏎準備500-900g無油海綿蛋糕麵糊。倒入已鋪上烘焙紙並掃上食油的焗盤內。⏎將食物放入第 3 層。⏎使用網架及焗盤。
